id,village_id,species,risk_score,risk_level,confidence,message,language,status,created_at,acknowledged_at,resolved_at
ALT-c6fe5d84,VLG-1011,Leopard,60,HIGH,83,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-7d95bf16,VLG-1007,Asiatic Lion,83,HIGH,89,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-0c666371,VLG-1012,Asiatic Lion,93,HIGH,89,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-71c90964,VLG-1009,Asiatic Lion,64,HIGH,93,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-dd43057c,VLG-1001,Leopard,93,CRITICAL,90,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-c768e991,VLG-1001,Leopard,94,HIGH,81,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-d5800c1a,VLG-1012,Asiatic Lion,63,HIGH,91,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-59d31152,VLG-1004,Asiatic Lion,87,CRITICAL,85,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-1f9057ae,VLG-1003,Asiatic Lion,73,CRITICAL,85,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-6babb4a2,VLG-1011,Asiatic Lion,73,HIGH,90,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-93331b38,VLG-1011,Asiatic Lion,61,CRITICAL,92,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-37ba41ac,VLG-1008,Asiatic Lion,78,HIGH,85,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-89780c4e,VLG-1006,Asiatic Lion,92,HIGH,80,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-8d8148ae,VLG-1007,Leopard,77,CRITICAL,92,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
ALT-5f7bcd6c,VLG-1012,Leopard,67,CRITICAL,90,High risk of wildlife movement in your area tonight.,en,SENT,2026-08-20T23:51:03.282592,,
