id,name,district,state,latitude,longitude,population,livestock_count,forest_distance,created_at,updated_at
VLG-1000,Village A,Junagadh,Gujarat,21.107759980036256,70.87858104525718,2959,220,3.9,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1001,Village B,Amreli,Gujarat,21.032507180462208,70.85184951383715,2530,747,3.87,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1002,Village C,Junagadh,Gujarat,21.166306797919272,70.80953833058555,2969,309,4.65,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1003,Village D,Amreli,Gujarat,21.035229184275877,70.71929164090048,2155,184,2.0,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1004,Village E,Junagadh,Gujarat,21.091641554795526,70.82255415526794,2461,335,1.23,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1005,Village F,Amreli,Gujarat,21.120789938074054,70.88147695283922,1090,525,0.33,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1006,Village G,Junagadh,Gujarat,21.02425393292141,70.76203403782881,2592,691,2.02,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1007,Village H,Amreli,Gujarat,21.095416978665547,70.87621102369619,626,628,0.86,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1008,Village I,Junagadh,Gujarat,21.151752373401322,70.7279042484449,1479,666,0.14,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1009,Village J,Amreli,Gujarat,21.029182570530757,70.7029477023838,1767,104,3.08,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1010,Village K,Junagadh,Gujarat,21.147821462164032,70.79732347152515,1504,339,3.0,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1011,Village L,Amreli,Gujarat,21.08594510945153,70.84235903724962,1741,379,2.17,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1012,Village M,Junagadh,Gujarat,21.1976512993582,70.73333988152491,1086,442,3.81,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1013,Village N,Amreli,Gujarat,21.186949054277108,70.87074512039119,1384,633,0.68,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
VLG-1014,Village O,Junagadh,Gujarat,21.188031265453006,70.84169126973718,704,791,2.56,2026-08-20T23:51:03.221698,2026-08-20T23:51:03.221698
