id,species,sighting_date,sighting_time,village_id,latitude,longitude,source,description,verification_status,confidence,image_url,created_at
WS-ccc4186e,Leopard,2026-08-01,16:00,VLG-1000,21.15978507101567,70.85424166725865,VILLAGER,Spotted near the water body.,PENDING,91,,2026-08-01T23:51:03.273209
WS-ebb5e9b9,Asiatic Lion,2026-08-20,16:00,VLG-1013,21.11822360420437,70.85465158251581,VILLAGER,Spotted near the water body.,PENDING,91,,2026-08-20T23:51:03.273209
WS-001c58af,Asiatic Lion,2026-07-27,13:00,VLG-1009,21.05295375586689,70.70911353746553,VILLAGER,Spotted near the water body.,PENDING,91,,2026-07-27T23:51:03.273209
WS-72f5f504,Leopard,2026-08-02,00:00,VLG-1010,21.19611724373911,70.7245807078928,FOREST_GUARD,Spotted near the water body.,PENDING,82,,2026-08-02T23:51:03.273209
WS-e82808ad,Asiatic Lion,2026-08-12,15:00,VLG-1000,21.19751663068279,70.84971547213812,VILLAGER,Spotted near the water body.,VERIFIED,95,,2026-08-12T23:51:03.273209
WS-57438767,Asiatic Lion,2026-08-04,14:00,VLG-1004,21.103884825323377,70.88393441855108,CAMERA_TRAP,Spotted near the water body.,VERIFIED,72,,2026-08-04T23:51:03.273209
WS-e3d545ee,Asiatic Lion,2026-07-21,21:00,VLG-1004,21.044961294002714,70.71841801144556,FOREST_GUARD,Spotted near the water body.,UNVERIFIED,87,,2026-07-21T23:51:03.273209
WS-13c26c70,Leopard,2026-08-12,05:00,VLG-1004,21.103410854186293,70.84891386662753,CAMERA_TRAP,Spotted near the water body.,VERIFIED,74,,2026-08-12T23:51:03.273209
WS-0a44f8d0,Leopard,2026-07-23,07:00,VLG-1007,21.020002773440318,70.83126031026217,FOREST_GUARD,Spotted near the water body.,PENDING,98,,2026-07-23T23:51:03.273209
WS-d6c7a7cb,Leopard,2026-07-24,23:00,VLG-1001,21.12076380457236,70.79612132137969,CAMERA_TRAP,Spotted near the water body.,VERIFIED,99,,2026-07-24T23:51:03.273209
WS-d66ceb4e,Asiatic Lion,2026-08-05,17:00,VLG-1002,21.136108704956406,70.79383931019153,VILLAGER,Spotted near the water body.,UNVERIFIED,99,,2026-08-05T23:51:03.273209
WS-40781347,Leopard,2026-07-29,22:00,VLG-1010,21.10853166885259,70.7352437215528,CAMERA_TRAP,Spotted near the water body.,VERIFIED,72,,2026-07-29T23:51:03.274584
WS-5bfac3f3,Leopard,2026-08-01,04:00,VLG-1004,21.17252722075554,70.84195288471157,VILLAGER,Spotted near the water body.,PENDING,89,,2026-08-01T23:51:03.274584
WS-1e2a4056,Asiatic Lion,2026-08-04,12:00,VLG-1003,21.12708826936458,70.8700979969539,FOREST_GUARD,Spotted near the water body.,UNVERIFIED,62,,2026-08-04T23:51:03.274584
WS-d553023a,Leopard,2026-08-03,13:00,VLG-1008,21.143441705576695,70.73792035854146,FOREST_GUARD,Spotted near the water body.,VERIFIED,63,,2026-08-03T23:51:03.274584
WS-c92d7f74,Leopard,2026-08-05,13:00,VLG-1000,21.140203969130468,70.86042066555925,FOREST_GUARD,Spotted near the water body.,PENDING,73,,2026-08-05T23:51:03.274584
WS-f47c0fcd,Asiatic Lion,2026-08-14,06:00,VLG-1010,21.11913061520464,70.72393872472307,CAMERA_TRAP,Spotted near the water body.,UNVERIFIED,63,,2026-08-14T23:51:03.274584
WS-9b24102d,Leopard,2026-08-14,14:00,VLG-1003,21.090343558352576,70.88559982599028,CAMERA_TRAP,Spotted near the water body.,VERIFIED,84,,2026-08-14T23:51:03.274584
WS-a790cecb,Asiatic Lion,2026-08-02,04:00,VLG-1006,21.07448869193692,70.76019022499607,FOREST_GUARD,Spotted near the water body.,PENDING,74,,2026-08-02T23:51:03.274584
WS-3ce3877f,Asiatic Lion,2026-08-06,13:00,VLG-1000,21.161572155974333,70.8533220667001,CAMERA_TRAP,Spotted near the water body.,UNVERIFIED,71,,2026-08-06T23:51:03.274584
WS-9c5ae92c,Asiatic Lion,2026-08-06,19:00,VLG-1011,21.193258200817866,70.70259917129881,VILLAGER,Spotted near the water body.,UNVERIFIED,97,,2026-08-06T23:51:03.274584
WS-22e1f114,Asiatic Lion,2026-07-23,06:00,VLG-1014,21.073794004365727,70.83053160665736,CAMERA_TRAP,Spotted near the water body.,VERIFIED,85,,2026-07-23T23:51:03.274584
WS-a0eb5bdd,Leopard,2026-07-24,14:00,VLG-1009,21.116560911530478,70.75880418429185,CAMERA_TRAP,Spotted near the water body.,VERIFIED,60,,2026-07-24T23:51:03.274584
WS-6dafb39c,Leopard,2026-08-19,15:00,VLG-1014,21.160053684541218,70.76032351365158,FOREST_GUARD,Spotted near the water body.,VERIFIED,97,,2026-08-19T23:51:03.274584
WS-c3333911,Leopard,2026-07-27,21:00,VLG-1013,21.14123740177246,70.730464591496,VILLAGER,Spotted near the water body.,UNVERIFIED,74,,2026-07-27T23:51:03.274584
WS-3bd3cf20,Asiatic Lion,2026-08-18,06:00,VLG-1009,21.049944075450476,70.75940152898188,CAMERA_TRAP,Spotted near the water body.,UNVERIFIED,99,,2026-08-18T23:51:03.274584
WS-73bdef1a,Leopard,2026-07-23,13:00,VLG-1013,21.1965135465097,70.74650780325766,FOREST_GUARD,Spotted near the water body.,PENDING,98,,2026-07-23T23:51:03.274584
WS-de74a7a2,Leopard,2026-08-12,16:00,VLG-1004,21.145063739133104,70.73785563097378,VILLAGER,Spotted near the water body.,UNVERIFIED,63,,2026-08-12T23:51:03.274584
WS-691e8076,Asiatic Lion,2026-07-31,20:00,VLG-1000,21.078454363495197,70.81566729998578,CAMERA_TRAP,Spotted near the water body.,VERIFIED,88,,2026-07-31T23:51:03.274584
WS-909f378e,Asiatic Lion,2026-08-09,03:00,VLG-1000,21.083529729598983,70.83479906017149,VILLAGER,Spotted near the water body.,VERIFIED,83,,2026-08-09T23:51:03.274584
WS-aef2234a,Asiatic Lion,2026-08-16,02:00,VLG-1008,21.145045063489388,70.76952760991148,VILLAGER,Spotted near the water body.,VERIFIED,67,,2026-08-16T23:51:03.274584
WS-e7e86ccc,Leopard,2026-08-17,20:00,VLG-1008,21.133912865939816,70.85362739496095,VILLAGER,Spotted near the water body.,PENDING,67,,2026-08-17T23:51:03.274584
WS-8a1fda23,Leopard,2026-08-19,21:00,VLG-1014,21.114064164934188,70.73257931134343,FOREST_GUARD,Spotted near the water body.,VERIFIED,96,,2026-08-19T23:51:03.275095
WS-bc931015,Leopard,2026-08-16,02:00,VLG-1012,21.144521264553195,70.89978579493929,CAMERA_TRAP,Spotted near the water body.,VERIFIED,75,,2026-08-16T23:51:03.275095
WS-574eb51b,Asiatic Lion,2026-08-18,23:00,VLG-1011,21.036424680581355,70.78642868489148,VILLAGER,Spotted near the water body.,PENDING,98,,2026-08-18T23:51:03.275095
WS-f6fd8e5c,Asiatic Lion,2026-07-22,03:00,VLG-1002,21.16813998503171,70.79499589546398,FOREST_GUARD,Spotted near the water body.,UNVERIFIED,85,,2026-07-22T23:51:03.275095
WS-eca2f10c,Leopard,2026-08-08,17:00,VLG-1001,21.034794333042253,70.8158081297254,CAMERA_TRAP,Spotted near the water body.,UNVERIFIED,84,,2026-08-08T23:51:03.275095
WS-fe17785d,Asiatic Lion,2026-08-06,18:00,VLG-1010,21.173972775125346,70.88181105892872,CAMERA_TRAP,Spotted near the water body.,VERIFIED,73,,2026-08-06T23:51:03.275095
WS-457729f3,Leopard,2026-08-11,08:00,VLG-1013,21.038246274399672,70.84818343289321,CAMERA_TRAP,Spotted near the water body.,UNVERIFIED,63,,2026-08-11T23:51:03.275095
WS-0fa7ae85,Leopard,2026-07-22,21:00,VLG-1006,21.024495443543127,70.71230205063637,CAMERA_TRAP,Spotted near the water body.,VERIFIED,62,,2026-07-22T23:51:03.275095
